order_id,order_date,order_time,customer_id,customer_segment,loyalty_years,region,state,product_category,product_subcategory,sku,metal_type,stone_type,unit_price,quantity,subtotal,discount_percent,discount_amount,tax_rate,tax_amount,shipping_fee,gift_wrap_fee,engraving_fee,insurance_fee,order_total,is_gift,has_engraving,has_insurance,marketing_channel,sales_channel,payment_method,order_status,nps_score
ORD-20251124-010001,2025-11-24,13:20:10,CMS-AD8DB644,Regular,4.1,Southeast,NC,Earrings,Studs,EAR-STU-63273,18K White Gold,Pearl,4768.73,1,4768.73,0.0,0.0,0.065,309.97,0,0,0,0.0,5078.7,False,False,False,Referral,Boutique Stores,Financing,Delivered,9.0
ORD-20250521-010002,2025-05-21,20:49:13,CMS-FE6F3AFE,Premium,5.8,International,INT,Earrings,Chandelier,EAR-CHA-78759,14K Gold,Pearl,4628.69,1,4628.69,0.0,0.0,0.0,0.0,0,0,0,0.0,4628.69,False,False,False,Social Media,Website,Wire Transfer,Delivered,7.0
ORD-20251213-010003,2025-12-13,16:21:51,CMS-E72E3A90,Premium,7.2,Southwest,OK,Wedding Bands,Eternity,WED-ETE-93351,14K Gold,Diamond,6193.3,1,6193.3,0.0,0.0,0.0625,387.08,0,0,0,0.0,6580.38,False,False,False,Display Ads,Website,Credit Card,Delivered,8.0
ORD-20251007-010004,2025-10-07,12:34:46,CMS-11B02895,New,0.4,West,OR,Bracelets,Cuff,BRA-CUF-73017,18K White Gold,Diamond,9114.3,1,9114.3,0.0,0.0,0.075,683.57,0,0,75,0.0,9872.87,False,True,False,Email,Boutique Stores,Apple Pay,Delivered,10.0
ORD-20250805-010005,2025-08-05,08:06:51,CMS-D361CCC5,VIP Elite,7.6,Southwest,NM,Engagement Rings,Vintage,ENG-VIN-44093,Platinum,Lab Diamond,24461.71,1,24461.71,0.0,0.0,0.0625,1528.86,0,0,0,0.0,25990.57,False,False,False,Paid Search,Boutique Stores,Financing,Returned,5.0
ORD-20250217-010006,2025-02-17,22:44:44,CMS-A8D10A7C,VIP Elite,6.1,Southeast,NC,Necklaces,Layering,NEC-LAY-87976,18K Yellow Gold,Emerald,8219.2,1,8219.2,0.0,0.0,0.065,534.25,0,0,0,164.38,8917.83,False,False,True,Direct,Website,Apple Pay,Delivered,9.0
ORD-20250916-010007,2025-09-16,21:39:04,CMS-1DE68851,Regular,4.4,Northeast,NJ,Fine Watches,Limited Edition,FIN-LIM-59256,Platinum,Diamond,48896.15,1,48896.15,0.1,4889.62,0.08,3911.69,0,0,0,977.92,48896.14,False,False,True,Affiliate,Website,PayPal,Delivered,10.0
ORD-20251015-010008,2025-10-15,16:37:32,CMS-8897F1AB,VIP Elite,14.9,Midwest,MN,Engagement Rings,Pavé,ENG-PAV-59634,18K Yellow Gold,Diamond,40362.59,1,40362.59,0.0,0.0,0.07,2825.38,0,0,0,807.25,43995.22,False,False,True,Referral,Boutique Stores,Credit Card,Delivered,6.0
ORD-20251129-010009,2025-11-29,20:43:35,CMS-D5882D22,Regular,2.5,Southeast,GA,Fine Watches,Diamond,FIN-DIA-55205,18K White Gold,Diamond,17555.28,2,35110.56,0.0,0.0,0.065,2282.19,0,0,75,0.0,37467.75,False,True,False,Display Ads,Private Appointment,Credit Card,Delivered,9.0
ORD-20250803-010010,2025-08-03,16:53:34,CMS-E0C03114,Premium,2.1,Southeast,NC,Earrings,Drop,EAR-DRO-95195,18K Yellow Gold,Diamond,6505.74,2,13011.49,0.0,0.0,0.065,845.75,0,0,0,0.0,13857.24,False,False,False,Organic Search,Flagship Store,Apple Pay,Delivered,8.0
ORD-20251029-010011,2025-10-29,20:32:02,CMS-F71A3441,VIP Elite,10.2,Southwest,TX,Wedding Bands,Milgrain,WED-MIL-66821,18K Rose Gold,Diamond,4885.98,1,4885.98,0.05,244.3,0.0625,305.37,0,0,0,0.0,4947.05,False,False,False,Organic Search,Website,Credit Card,Delivered,9.0
